"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2015/08","8","August","2015","1013","1391","859","7","119","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.","10","168","3392","38","18699","22297","95250","98898","35990","348","239257","8771"
"DTW","Detroit, MI: Detroit Metro Wayne County","2015/08","8","August","2015","484","587","433","3","63","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","11","60","1571","13","8587","10231","38609","39729","19387","204","102742","4813"
"EWR","Newark, NJ: Newark Liberty International","2015/08","8","August","2015","493","687","725","0","87","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","9","160","1995","14","7476","9645","30327","48027","49820","21","135884","7689"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2015/08","8","August","2015","471","445","562","9","43","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","9","57","1532","5","4523","6117","28404","30251","28382","598","91056","3421"
"IAD","Washington, DC: Washington Dulles International","2015/08","8","August","2015","218","201","116","2","40","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","31","576","1","2620","3228","11844","14135","8155","88","36951","2729"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2015/08","8","August","2015","605","837","725","2","84","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.","8","172","2254","76","10925","13427","39726","61646","44555","106","152049","6016"
"JFK","New York, NY: John F. Kennedy International","2015/08","8","August","2015","435","600","602","5","69","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America","7","82","1710","20","7384","9196","30898","43942","37414","216","117260","4790"
"LAS","Las Vegas, NV: McCarran International","2015/08","8","August","2015","634","956","649","9","79","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","11","66","2325","73","10237","12701","33725","57223","36143","511","134648","7046"
"LAX","Los Angeles, CA: Los Angeles International","2015/08","8","August","2015","1094","1438","2078","14","120","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","12","248","4742","14","14266","19270","72593","92288","87160","496","260471","7934"
"LGA","New York, NY: LaGuardia","2015/08","8","August","2015","466","567","816","5","95","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","11","186","1946","32","7079","9243","32316","35636","45638","284","120866","6992"
"MCO","Orlando, FL: Orlando International","2015/08","8","August","2015","705","697","912","10","106","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","81","2427","70","7089","9667","41464","49446","45002","478","143567","7177"
"MDW","Chicago, IL: Chicago Midway International","2015/08","8","August","2015","331","520","308","3","107","Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.","4","52","1267","43","6566","7928","18404","32240","13655","132","74047","9616"
"MIA","Miami, FL: Miami International","2015/08","8","August","2015","409","403","548","2","55","American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.","6","74","1417","30","4808","6329","26435","28394","23060","46","81851","3916"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2015/08","8","August","2015","544","618","649","2","78","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","9","50","1888","12","9675","11625","37330","38471","22662","96","103166","4607"
"ORD","Chicago, IL: Chicago O'Hare International","2015/08","8","August","2015","1157","1832","1948","5","168","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America","11","646","5110","139","22233","28128","88495","130699","123914","237","359191","15846"
"PDX","Portland, OR: Portland International","2015/08","8","August","2015","302","370","115","2","17","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","11","12","803","2","4286","5103","16111","22294","4643","162","44420","1210"
"PHL","Philadelphia, PA: Philadelphia International","2015/08","8","August","2015","371","390","415","1","53","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,United Air Lines Inc.,Southwest Airlines Co.","9","54","1231","16","5115","6416","20789","25546","22719","41","73250","4155"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2015/08","8","August","2015","701","927","517","7","74","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","11","119","2224","73","11288","13704","42534","56115","19003","301","123535","5582"
"SAN","San Diego, CA: San Diego International","2015/08","8","August","2015","443","510","228","1","32","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","11","57","1212","12","5595","6876","21708","28069","8680","45","60636","2134"
"SEA","Seattle, WA: Seattle/Tacoma International","2015/08","8","August","2015","633","756","1072","11","82","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","28","2555","8","9501","12092","37912","44168","41315","366","129307","5546"
"SFO","San Francisco, CA: San Francisco International","2015/08","8","August","2015","776","1148","1106","9","108","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","165","3149","17","11274","14605","49990","73599","51759","527","182462","6587"
"SLC","Salt Lake City, UT: Salt Lake City International","2015/08","8","August","2015","384","528","195","2","47","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","9","31","1157","35","8279","9502","24081","28489","7317","116","63116","3113"
"TPA","Tampa, FL: Tampa International","2015/08","8","August","2015","406","385","320","5","69","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,Southwest Airlines Co.","8","42","1185","61","4144","5432","22773","27627","17968","174","73421","4879"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2015/09","9","September","2015","945","1027","1075","1","86","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","10","29","3134","80","28088","31331","80478","62886","39930","92","189013","5627"
"BOS","Boston, MA: Logan International","2015/09","9","September","2015","468","506","597","2","50","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","45","1622","6","8051","9724","28421","31180","25418","125","88341","3197"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2015/09","9","September","2015","301","374","447","4","89","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,Spirit Air Lines,United Air Lines Inc.,Southwest Airlines Co.","9","25","1213","22","6457","7717","16569","22549","21020","100","67202","6964"
"CLT","Charlotte, NC: Charlotte Douglas International","2015/09","9","September","2015","323","338","494","2","26","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","8","42","1186","11","7846","9085","20523","19385","18105","50","59755","1692"
"DCA","Washington, DC: Ronald Reagan Washington National","2015/09","9","September","2015","300","237","390","1","59","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","11","67","991","8","5526","6592","15097","13926","22328","24","55838","4463"
