"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/01","1","January","2012","961","1548","2023","2","105","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","11","242","4638","78","26393","31351","84985","106917","76563","53","278002","9484"
"BOS","Boston, MA: Logan International","2012/01","1","January","2012","375","401","435","7","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","12","107","1254","12","6855","8228","19527","25261","14010","163","60994","2033"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/01","1","January","2012","259","348","258","0","21","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","57","887","23","6916","7883","14223","18234","7742","4","41997","1794"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/01","1","January","2012","326","398","564","2","23","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","107","1313","9","9631","11060","17376","20793","19884","85","59880","1742"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/01","1","January","2012","228","203","297","2","32","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","134","761","23","4724","5642","12361","11169","10910","60","36803","2303"
"DEN","Denver, CO: Denver International","2012/01","1","January","2012","608","1058","827","1","78","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","13","178","2570","11","16227","18986","34950","62835","30073","39","134760","6863"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/01","1","January","2012","591","939","863","5","113","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","11","387","2508","57","18206","21158","51211","51615","30316","190","141817","8485"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/01","1","January","2012","282","323","332","0","24","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","79","965","12","5845","6901","19989","19349","10690","11","51869","1830"
"EWR","Newark, NJ: Newark Liberty International","2012/01","1","January","2012","353","482","1111","1","263","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","165","2209","9","6771","9154","25229","33063","54461","31","132603","19819"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2012/01","1","January","2012","295","249","273","1","27","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","18","845","7","4948","5818","14847","17269","8414","16","41745","1199"
"IAD","Washington, DC: Washington Dulles International","2012/01","1","January","2012","273","390","234","0","22","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","10","101","916","8","4756","5781","14739","25591","6879","0","48800","1591"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2012/01","1","January","2012","519","659","714","2","84","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","8","166","1976","41","11480","13663","36181","42342","32406","127","120950","9894"
"JFK","New York, NY: John F. Kennedy International","2012/01","1","January","2012","333","364","378","1","23","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","8","51","1099","6","6451","7607","20807","22368","12809","55","57444","1405"
"LAS","Las Vegas, NV: McCarran International","2012/01","1","January","2012","365","483","375","5","48","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","84","1274","13","9923","11294","19055","28544","13177","149","64406","3481"
"LAX","Los Angeles, CA: Los Angeles International","2012/01","1","January","2012","678","959","606","4","78","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","14","211","2324","20","15276","17831","43263","60474","19652","119","129142","5634"
"LGA","New York, NY: LaGuardia","2012/01","1","January","2012","312","275","770","0","53","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","223","1410","11","6182","7826","22356","16860","36601","11","78720","2892"
"MCO","Orlando, FL: Orlando International","2012/01","1","January","2012","424","378","394","4","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","39","1234","5","8760","10038","23554","23876","12063","97","61803","2213"
"MDW","Chicago, IL: Chicago Midway International","2012/01","1","January","2012","191","259","159","4","69","Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Southwest Airlines Co.","4","145","682","27","5674","6528","9513","13388","6827","94","40275","10453"
"MIA","Miami, FL: Miami International","2012/01","1","January","2012","282","264","282","1","47","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","9","54","876","6","6074","7010","17465","15502","8787","34","44388","2600"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2012/01","1","January","2012","316","400","322","0","35","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","81","1075","4","7232","8392","19223","22277","10096","7","54340","2737"
"ORD","Chicago, IL: Chicago O'Hare International","2012/01","1","January","2012","845","1432","1461","5","156","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","11","908","3896","34","19953","24791","68995","97081","68329","125","250267","15737"
"PDX","Portland, OR: Portland International","2012/01","1","January","2012","177","253","176","1","17","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","58","625","4","3266","3953","9896","15191","6165","44","33185","1889"
"PHL","Philadelphia, PA: Philadelphia International","2012/01","1","January","2012","234","219","543","1","54","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","92","1053","4","5512","6661","14502","14599","25584","72","58719","3962"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2012/01","1","January","2012","522","808","2148","4","50","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","14","145","3527","12","11686","15370","28459","43635","77581","74","153233","3484"
"SAN","San Diego, CA: San Diego International","2012/01","1","January","2012","257","316","181","3","45","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","98","804","53","5164","6119","13343","18239","6275","73","42745","4815"
"SEA","Seattle, WA: Seattle/Tacoma International","2012/01","1","January","2012","325","396","450","3","42","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","283","1219","27","5943","7472","19468","27163","16814","91","67249","3713"
"SFO","San Francisco, CA: San Francisco International","2012/01","1","January","2012","460","758","1850","3","108","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","431","3179","25","9802","13437","36826","58411","143081","243","247869","9308"
"SLC","Salt Lake City, UT: Salt Lake City International","2012/01","1","January","2012","271","363","277","1","30","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","98","941","7","8060","9106","13497","20453","8275","70","45536","3241"
"TPA","Tampa, FL: Tampa International","2012/01","1","January","2012","205","235","201","0","23","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","23","665","5","4972","5665","9829","13070","6767","36","31295","1593"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/02","2","Febuary","2012","824","1246","1369","6","63","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","12","126","3509","18","26104","29757","74173","76126","41837","317","197995","5542"
"BOS","Boston, MA: Logan International","2012/02","2","Febuary","2012","296","297","250","0","15","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","62","857","5","7092","8016","17056","15774","8876","3","42312","603"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/02","2","Febuary","2012","202","240","131","3","9","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","47","585","5","7041","7678","10212","11916","4014","108","26656","406"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/02","2","Febuary","2012","286","354","394","2","25","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","37","1061","6","9572","10676","16628","20175","12120","195","50760","1642"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/02","2","Febuary","2012","190","177","198","1","8","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","56","571","12","4713","5352","9530","9024","7029","31","25917","303"
"DEN","Denver, CO: Denver International","2012/02","2","Febuary","2012","637","955","1076","2","121","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","433","2792","21","14931","18177","37696","54577","47945","54","149007","8735"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/02","2","Febuary","2012","595","889","1027","4","82","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","11","258","2595","29","18080","20962","53057","49153","30967","206","140075","6692"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/02","2","Febuary","2012","211","257","199","2","14","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","40","681","7","5605","6333","14053","16202","6308","95","37682","1024"
"EWR","Newark, NJ: Newark Liberty International","2012/02","2","Febuary","2012","293","432","718","0","172","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","107","1614","19","7088","8828","20645","26910","35659","17","95260","12029"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2012/02","2","Febuary","2012","265","221","280","1","12","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","9","779","5","4936","5729","13804","13204","8928","53","36452","463"
"IAD","Washington, DC: Washington Dulles International","2012/02","2","Febuary","2012","189","269","136","2","16","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","10","75","613","1","4947","5636","12700","18225","4564","202","36786","1095"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2012/02","2","Febuary","2012","571","817","1238","4","101","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","8","76","2732","37","10153","12998","40814","48284","41786","116","139549","8549"
"JFK","New York, NY: John F. Kennedy International","2012/02","2","Febuary","2012","255","276","232","2","9","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","8","31","771","5","6506","7313","16671","15783","8183","41","41116","438"
"LAS","Las Vegas, NV: McCarran International","2012/02","2","Febuary","2012","399","421","394","2","13","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","54","1233","4","9391","10682","17634","19307","10893","70","48343","439"
"LAX","Los Angeles, CA: Los Angeles International","2012/02","2","Febuary","2012","603","793","733","4","53","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","14","167","2189","13","14555","16924","32981","39509","21100","248","95651","1813"
"LGA","New York, NY: LaGuardia","2012/02","2","Febuary","2012","217","194","366","1","16","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","106","791","6","6612","7515","13975","11321","14285","62","40572","929"
"MCO","Orlando, FL: Orlando International","2012/02","2","Febuary","2012","436","368","426","1","22","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","14","1253","16","8545","9828","24480","21496","13238","50","60404","1140"
"MDW","Chicago, IL: Chicago Midway International","2012/02","2","Febuary","2012","148","219","133","2","23","Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Southwest Airlines Co.","4","126","525","2","5593","6246","6721","10870","3607","43","22337","1096"
"MIA","Miami, FL: Miami International","2012/02","2","Febuary","2012","260","222","249","0","19","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","9","29","751","4","5801","6585","15234","11995","7418","22","35738","1069"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2012/02","2","Febuary","2012","281","270","277","6","22","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","69","856","5","6867","7797","19692","15334","8149","276","46556","3105"
"ORD","Chicago, IL: Chicago O'Hare International","2012/02","2","Febuary","2012","646","1142","1243","3","131","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","615","3164","44","19874","23697","57026","76563","70284","46","220401","16482"
"PDX","Portland, OR: Portland International","2012/02","2","Febuary","2012","132","170","128","1","2","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","24","435","3","3279","3741","6955","8717","3518","21","19375","164"
"PHL","Philadelphia, PA: Philadelphia International","2012/02","2","Febuary","2012","174","173","306","0","27","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","27","681","2","5403","6113","11501","10800","14629","10","39186","2246"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2012/02","2","Febuary","2012","443","427","600","7","16","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","14","80","1494","7","13033","14614","20252","20711","15985","372","58207","887"
"SAN","San Diego, CA: San Diego International","2012/02","2","Febuary","2012","257","244","193","4","10","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","42","709","3","5124","5878","12425","11478","5473","192","30107","539"
"SEA","Seattle, WA: Seattle/Tacoma International","2012/02","2","Febuary","2012","272","239","334","4","13","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","22","865","4","6117","7008","13436","12792","9250","145","36127","504"
"SFO","San Francisco, CA: San Francisco International","2012/02","2","Febuary","2012","417","706","1111","4","55","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","177","2290","17","10179","12663","25245","42430","56281","291","127138","2891"
"SLC","Salt Lake City, UT: Salt Lake City International","2012/02","2","Febuary","2012","282","307","287","2","22","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","80","898","3","7679","8660","14788","17580","7847","51","41581","1315"
"TPA","Tampa, FL: Tampa International","2012/02","2","Febuary","2012","215","177","204","3","7","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","13","606","5","4912","5536","10917","9401","6216","83","26960","343"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/03","3","March","2012","1244","2155","1829","7","100","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","12","185","5331","26","28127","33669","99415","133952","56868","200","297313","6878"
"BOS","Boston, MA: Logan International","2012/03","3","March","2012","513","528","532","1","32","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","72","1606","4","7187","8869","26159","31119","19038","74","78302","1912"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/03","3","March","2012","321","542","265","1","27","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","29","1157","4","7569","8759","16087","29836","7530","59","55104","1592"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/03","3","March","2012","377","502","592","4","36","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","81","1510","23","10239","11853","21883","30429","18156","103","74388","3817"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/03","3","March","2012","312","315","350","2","25","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","87","1005","9","4728","5829","15392","17492","11486","77","45869","1422"
"DEN","Denver, CO: Denver International","2012/03","3","March","2012","757","1165","667","7","66","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","111","2662","6","17568","20347","44010","67390","21501","150","137548","4497"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/03","3","March","2012","769","1450","936","1","200","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","11","481","3354","85","19078","22998","75046","96480","41954","33","233602","20089"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/03","3","March","2012","300","376","404","1","33","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","40","1115","28","6332","7515","19052","23501","15793","25","61735","3364"
